FAMILY CODE,ICD Code
1197-027-04A-0301E,K76.9
1197-027-04A-02064,K76.9
1197-027-04A-03064,K76.9
1197-027-04A-0401E,K76.9
1197-027-04A-0501E,K76.9
1197-027-04A-0201C,K76.9
1197-027-04A-0301C,K76.9
1197-027-04A-0101C,K76.9
1197-027-04A-0401C,K76.9
1197-075-04A-0401E,K76.9
1197-075-04A-0101E,K76.9
2182-027-04A-0101E,K76.9
2182-027-04A-0201E,K76.9
2182-027-04A-0301E,K76.9
2182-075-04A-0301E,K76.9
2182-075-04A-0201E,K76.9
2182-075-04A-0101E,K76.9
1197-027-04A-0101E,R94.5
1197-027-04A-0201E,R94.5
1197-027-04A-0301E,R94.5
1197-027-04A-02064,R94.5
1197-027-04A-03064,R94.5
1197-027-04A-0401E,R94.5
1197-027-04A-0501E,R94.5
1197-027-04A-0201C,R94.5
1197-027-04A-0301C,R94.5
1197-027-04A-0101C,R94.5
1197-027-04A-0401C,R94.5
1197-075-04A-0401E,R94.5
1197-075-04A-0101E,R94.5
2182-027-04A-0101E,R94.5
2182-027-04A-0201E,R94.5
2182-027-04A-0301E,R94.5
2182-075-04A-0301E,R94.5
2182-075-04A-0201E,R94.5
2182-075-04A-0101E,R94.5
1623-066-059-01002,C73
1623-066-059-01002,E10.10
1623-066-059-01002,E10.8
1623-066-059-01002,E10.9
1623-066-059-01002,E11.10
0928-027-04A-0101E,E87.2
0928-027-04A-0201E,E87.2
0928-027-04A-03030,E87.2
0928-027-04A-03032,E87.2
0928-075-04A-031F4,E87.2
0928-075-04A-03032,E87.2
0928-075-04A-011F4,E87.2
0928-075-04A-01032,E87.2
0928-027-04A-0103C,E87.2
0928-0DB-04A-0401E,E87.2
0928-0DB-04A-0301E,E87.2
0928-075-04A-01038,E87.2
0928-075-04A-03054,E87.2
0928-075-04A-0101E,E87.2
0928-075-04A-0301E,E87.2
0928-075-04A-0201E,E87.2
0928-027-04A-03014,E87.2
0928-027-04A-0301E,E87.2
0928-024-04A-0301E,E87.2
0928-0DB-04A-0201E,E87.2
0928-08A-04A-07001,E87.2
0928-027-04A-01258,E87.2
0928-027-04A-02258,E87.2
0928-024-04A-0401E,E87.2
0928-024-04A-0403C,E87.2
0928-0DB-04A-03038,E87.2
0928-0DB-04A-04038,E87.2
0928-0DB-04A-02038,E87.2
0928-024-04A-0201E,E87.2
0928-027-04A-0101E,Z99.2
0928-027-04A-0201E,Z99.2
0928-027-04A-03030,Z99.2
0928-027-04A-03032,Z99.2
0928-075-04A-031F4,Z99.2
0928-075-04A-03032,Z99.2
0928-075-04A-011F4,Z99.2
0928-075-04A-01032,Z99.2
0928-027-04A-0103C,Z99.2
0928-0DB-04A-0401E,Z99.2
0928-0DB-04A-0301E,Z99.2
0928-075-04A-01038,Z99.2
0928-075-04A-03054,Z99.2
0928-075-04A-0101E,Z99.2
0928-075-04A-0301E,Z99.2
0928-075-04A-0201E,Z99.2
0928-027-04A-03014,Z99.2
0928-027-04A-0301E,Z99.2
0928-024-04A-0301E,Z99.2
0928-0DB-04A-0201E,Z99.2
0928-08A-04A-07001,Z99.2
0928-027-04A-01258,Z99.2
0928-027-04A-02258,Z99.2
0928-024-04A-0401E,Z99.2
0928-024-04A-0403C,Z99.2
0928-0DB-04A-03038,Z99.2
0928-0DB-04A-04038,Z99.2
0928-0DB-04A-02038,Z99.2
0928-024-04A-0201E,Z99.2
1013-027-04A-0101C,O12.00
1013-027-04A-0201C,O12.00
1013-027-04A-0301C,O12.00
1013-027-04A-0401C,O12.00
1949-027-04A-0701C,O12.00
1949-027-04A-0301C,O12.00
1949-027-04A-0201C,O12.00
1949-027-04A-0101C,O12.00
1949-027-04A-0501C,O12.00
1949-027-04A-0601C,O12.00
1949-027-04A-0801C,O12.00
1013-027-04A-0101C,O99.011
1013-027-04A-0201C,O99.011
1013-027-04A-0301C,O99.011
1013-027-04A-0401C,O99.011
1949-027-04A-0701C,O99.011
1949-027-04A-0301C,O99.011
1949-027-04A-0201C,O99.011
1949-027-04A-0101C,O99.011
1949-027-04A-0501C,O99.011
1949-027-04A-0601C,O99.011
1949-027-04A-0801C,O99.011
1013-027-04A-0101C,O99.019
1013-027-04A-0201C,O99.019
1013-027-04A-0301C,O99.019
1013-027-04A-0401C,O99.019
1949-027-04A-0701C,O99.019
1949-027-04A-0301C,O99.019
1949-027-04A-0201C,O99.019
1949-027-04A-0101C,O99.019
1949-027-04A-0501C,O99.019
1949-027-04A-0601C,O99.019
1949-027-04A-0801C,O99.019
1013-027-04A-0101C,Z34.80
1013-027-04A-0201C,Z34.80
1013-027-04A-0301C,Z34.80
1013-027-04A-0401C,Z34.80
1949-027-04A-0701C,Z34.80
1949-027-04A-0301C,Z34.80
1949-027-04A-0201C,Z34.80
1949-027-04A-0101C,Z34.80
1949-027-04A-0501C,Z34.80
1949-027-04A-0601C,Z34.80
1949-027-04A-0801C,Z34.80
1013-027-04A-0101C,Z34.81
1013-027-04A-0201C,Z34.81
1013-027-04A-0301C,Z34.81
1013-027-04A-0401C,Z34.81
1949-027-04A-0701C,Z34.81
1949-027-04A-0301C,Z34.81
1949-027-04A-0201C,Z34.81
1949-027-04A-0101C,Z34.81
1949-027-04A-0501C,Z34.81
1949-027-04A-0601C,Z34.81
1949-027-04A-0801C,Z34.81
1013-027-04A-0101C,Z34.82
1013-027-04A-0201C,Z34.82
1013-027-04A-0301C,Z34.82
1013-027-04A-0401C,Z34.82
1949-027-04A-0701C,Z34.82
1949-027-04A-0301C,Z34.82
1949-027-04A-0201C,Z34.82
1949-027-04A-0101C,Z34.82
1949-027-04A-0501C,Z34.82
1949-027-04A-0601C,Z34.82
1949-027-04A-0801C,Z34.82
1013-027-04A-0101C,Z34.83
1013-027-04A-0201C,Z34.83
1013-027-04A-0301C,Z34.83
1013-027-04A-0401C,Z34.83
1949-027-04A-0701C,Z34.83
1949-027-04A-0301C,Z34.83
1949-027-04A-0201C,Z34.83
1949-027-04A-0101C,Z34.83
1949-027-04A-0501C,Z34.83
1949-027-04A-0601C,Z34.83
1949-027-04A-0801C,Z34.83
1013-027-04A-0101C,Z99.2
1013-027-04A-0201C,Z99.2
1013-027-04A-0301C,Z99.2
1013-027-04A-0401C,Z99.2
1949-027-04A-0701C,Z99.2
1949-027-04A-0301C,Z99.2
1949-027-04A-0201C,Z99.2
1949-027-04A-0101C,Z99.2
1949-027-04A-0501C,Z99.2
1949-027-04A-0601C,Z99.2
1949-027-04A-0801C,Z99.2
0610-066-033-12004,K27.0
0610-064-035-18001,K27.0
0610-066-033-20005,K27.0
0610-064-033-21014,K27.0
0610-064-033-18001,K27.0
0610-075-04A-02018,K27.0
0610-075-04A-01018,K27.0
0610-075-04A-020FA,K27.0
0610-075-04A-011F4,K27.0
0610-075-04A-01019,K27.0
0610-075-04A-01064,K27.0
0610-075-04A-03014,K27.0
0610-075-04A-021F4,K27.0
0610-075-04A-02014,K27.0
0610-075-04A-01014,K27.0
0610-075-04A-031F4,K27.0
0610-027-04A-03014,K27.0
0610-06F-04A-04001,K27.0
0610-027-04A-02014,K27.0
0610-091-04A-0701E,K27.0
0610-027-04A-0201E,K27.0
0610-027-04A-02032,K27.0
0610-0F2-04A-04001,K27.0
0610-027-04A-03032,K27.0
